Nombre de génération, Nombre d'étapes, x, y, z, seuil
390,9,7223,5017,818,12956
391,107,3033,6340,-1158,8190
392,45,8616,16109,3746,28222
393,286,11954,7839,943,20709
394,145,2969,4173,5474,12585
395,24,5221,4403,10245,19692
396,90,6682,3090,3374,13092
397,136,-6,-334,3838,3464
398,81,11033,3605,1411,15952
399,40,2794,3855,707,7307
400,25,6985,6889,6161,19845
401,175,5315,-1939,9069,12424
402,84,1399,1123,6609,9055
404,2319,-47184,-31046,82619,4360
406,149,945,7387,10317,18534
407,17,1345,4665,9526,15457
408,446,1697,9387,2774,13730
409,264,7663,-859,2658,9459
410,191,4815,5417,17239,27337
411,399,12330,-1685,-3133,7472
412,1838,17963,24007,-36532,5393
413,46,9768,7950,8130,25712
414,28,7322,8371,11956,27589
415,114,1132,2619,7203,10876
416,174,5262,-4017,9600,10829
417,45,9321,8589,10326,28185
418,48,10404,10806,6357,27451
419,145,10256,518,7292,18034
420,24,3849,5201,7002,15980
421,1242,29765,-14210,-5866,9659
422,30,12391,4811,7555,24661
423,7,5631,775,9198,15492
424,16,10016,4911,5098,19986
425,1127,2037,4840,-2189,4676
426,28,7066,3835,12059,22876
427,33,7790,-2841,783,5708
428,616,8092,2261,16163,26480
429,569,17310,-6666,-5410,5234
430,572,-10330,19187,9708,18544
431,513,-793,4760,3180,7137
432,39,7665,8917,9464,25882
433,34,4561,9348,5598,19358
434,119,4000,5165,3306,12461
435,161,7700,-2717,7012,11981
436,22,5759,4634,9682,19957
437,214,9420,9809,10751,29847
438,31,5683,7670,7188,20502
439,275,-389,-904,8114,6786
440,39,7507,12103,7945,27479
441,196,14530,-9890,5529,10138
442,39,8819,8771,5887,23466
443,131,9775,8749,-3314,15062
444,161,803,10086,135,10986
445,204,-4522,19802,9393,24433
446,92,1855,831,3254,5906
447,1187,11245,-6682,1258,5807
448,145,10950,3762,-1390,13287
449,26,10770,10383,1267,22352
450,270,7191,6155,-1058,12197
451,148,9096,7041,269,16376
452,17,400,2136,8844,11362
453,7,7938,5504,5479,18810
454,14,3310,10091,10486,23741
455,13,6047,6797,7559,20339
456,199,7312,15349,4989,27528
457,32,11768,7568,7421,26513
458,276,3837,710,11878,16393
459,32,9522,10890,2524,22767
460,44,7820,9882,11541,29215
461,1,5220,633,317,6153
462,35,11851,6579,4005,22394
463,346,1616,23098,1113,25629
464,23,3287,10368,7603,21064
465,0,3386,8598,571,12452
467,45,8064,14946,4246,27054
469,41,13584,6297,6208,25956
470,192,11767,10074,5254,26910
471,42,7939,9709,7718,25334
472,112,7962,5103,9353,22283
473,277,1932,11739,13446,27024
474,84,4254,10664,7300,22062
475,446,20271,-738,-5390,14075
476,31,4136,7091,9359,20465
477,375,11503,-16,-2389,9054
478,336,139,4804,14795,19688
479,18,2663,5511,9855,18002
480,386,24201,-5640,-11459,7054
481,331,-1746,-4162,19596,13673
483,236,8552,8897,10644,28016
484,16,9288,9081,4056,22298
485,61,9852,6100,8174,23975
486,19,9725,5549,9657,24885
487,307,15893,15529,-6707,24597
488,25,11557,7615,2523,21600
489,25,8255,9102,1113,18414
490,1057,-8321,-21234,37817,8256
491,196,-1059,18710,11957,29329
492,54,13117,7048,7254,27222
493,182,10124,-135,-129,9846
495,300,6675,21596,-2085,26101
496,42,7350,9225,5550,22030
497,212,10228,12112,6869,29042
498,16,3591,5528,755,9820
499,171,299,6727,6721,13659
500,170,2328,4061,6039,12417
501,87,3462,-952,3157,5662
502,15,2565,7659,4289,14404
503,296,6428,21685,-5869,22132
504,37,7115,12185,8724,27989
505,31,7355,12601,7271,27140
506,43,3593,3750,2720,10046
507,513,10957,-8076,3067,5928
508,14,10041,5214,7311,22537
509,952,-41954,5234,41043,4299
510,68,2885,5375,734,8992
511,247,8101,-9927,5188,3342
512,25,11220,7238,5460,23820
513,60,2302,3169,7642,13012
514,898,-37936,3559,38613,4235
515,40,8498,7611,12581,28589
516,196,-3788,3397,17437,16941
517,100,2351,593,11549,14374
518,121,7802,364,3456,11591
519,29,8925,960,3545,13311
520,34,11549,9836,5147,26492
521,287,4291,-9861,8818,3247
522,1120,-19521,-4160,30401,6657
523,179,10552,1343,-1185,10665
524,35,4428,-3070,5948,7253
525,732,-13572,18371,4200,8966
526,2285,78439,-24068,-51307,3057
527,170,6906,-53,10427,17253
528,546,7038,-7755,4013,3274
529,46,9656,6778,11622,28012
530,320,17943,8162,-828,25156
531,1208,-4601,-20932,29383,3843
532,17,9647,2254,5212,17043
533,133,-4,3961,13246,17113
534,44,12143,10962,5099,28008
535,13,10436,7507,8528,26267
536,36,10641,9029,6918,26339
538,15,11106,10852,5806,27648
539,3,7065,6206,9271,22434
540,214,11224,9573,8630,29219
541,21,7390,2699,10209,20200
542,341,325,13717,-3328,10689
543,11,7810,995,2821,11625
544,217,-7452,10685,785,4018
545,216,3944,14571,7351,25787
546,302,2775,-2477,5594,5879
547,39,5769,9105,3719,18439
548,18,3551,7455,6402,17396
549,30,8361,11715,4021,24096
550,273,-3468,7503,13747,17694
551,286,-1252,3821,2484,5019
552,493,-21192,16680,9864,5341
553,2163,-25894,38709,-7707,5091
554,225,14318,4916,-3742,15441
555,223,20086,1602,2152,23643
556,4,7768,3426,1048,12175
557,43,5031,14167,8047,27180
558,191,7318,6252,6209,19630
559,28,10027,5665,1870,17542
560,29,9183,4019,5513,18648
561,120,7778,-1835,7820,13653
562,27,10732,5690,5101,21438
563,16,6059,5978,9231,21211
564,139,8983,4126,11608,24605
565,190,7019,10820,6928,24671
566,187,10856,-2293,14346,22835
567,250,10275,4524,6705,21485
568,109,5662,6992,2408,15050
569,140,5034,-872,3591,7745
570,152,-2131,2080,9702,9635
571,56,2910,8771,-1001,10659
572,53,930,2440,2840,6194
573,26,10785,4057,2630,17441
574,0,6270,5061,7871,19191
575,332,21524,1664,-2380,20705
576,265,7484,17787,-781,24327
577,33,10776,6826,5855,23244
578,25,6629,3777,6057,16393
579,163,12200,4682,1158,17985
580,44,10418,11060,8217,29512
581,189,3986,11815,8494,24272
583,51,6021,-350,-1065,4602
584,611,-8582,16953,-4686,3668
585,632,-9365,36550,-1333,25603
586,17,3517,7595,3825,14807
587,125,3148,6107,5998,15104
588,162,3666,1316,8208,13138
589,160,7041,-3552,10691,14106
590,113,3899,9890,3806,17553
591,53,11097,7866,10878,29566
592,93,10015,2536,1557,14054
593,32,6798,8006,3785,18543
594,359,8126,-3327,15866,20597
595,7,2134,8438,8199,18680
596,24,4051,8450,11341,23681
597,159,3772,-5065,11820,10466
